team,name,dname,kd,kda,most_killed,win_perc,norm_kd,log_norm_mk,assists,norm_assists,combined,norm_combined,elo,k,team_elo
1,iron,IRONKNIGHT INC,1.08,1.42,35.0,0.4427,0.675,0.6177046,0.3399999,0.7391302,0.6186337,0.76542664,240,10,629
1,mrspikey,AussieCommander,0.83,1.15,29.0,0.5399,0.51874995,0.5850324,0.32,0.6956521,0.5848336,0.7236063,240,10,629
1,suffa,SuFFa,0.63,0.93,30.0,0.3934,0.39374998,0.5909225,0.3,0.6521739,0.50756156,0.6279987,149,5,629
2,saxonj23,Saxonj23,1.15,1.51,35.0,0.5292,0.71875,0.6177046,0.36,0.7826087,0.66206586,0.81916463,366,20,755
2,dluith,dluith,0.9,1.23,32.0,0.4802,0.5625,0.60213536,0.33000004,0.7173913,0.5905567,0.7306874,240,10,755
2,kry lxxvi,Kry LXXXVI,0.63,0.99,21.0,0.4686,0.39374998,0.52895397,0.36,0.7826087,0.5434782,0.6724378,149,5,755
3,capt_TT,Capt_TT,1.25,1.67,43.0,0.5395,0.78125,0.6534692,0.41999996,0.9130433,0.72181565,0.8930922,366,20,846
3,divi,Divi8882,0.81,1.14,34.0,0.461,0.50624996,0.6126683,0.32999998,0.7173912,0.57432735,0.71060705,240,10,846
3,nephew of jimi,taybon,0.76,1.13,25.0,0.4392,0.475,0.559246,0.37,0.80434775,0.5694485,0.7045705,240,5,846
4,haydos,Haydos2207,1.23,1.59,42.0,0.5236,0.76875,0.64938104,0.36,0.7826087,0.68108493,0.84269667,366,20,755
4,nic,N94F,0.91,1.24,29.0,0.439,0.56875,0.5850324,0.32999998,0.7173912,0.5775434,0.7145862,240,10,755
4,nate,nateagain,0.74,1.05,29.0,0.4711,0.4625,0.5850324,0.30999994,0.6739129,0.54813635,0.6782013,149,5,755
5,chef traine,Chef Traine,1.39,1.75,42.0,0.5255,0.86875,0.64938104,0.36,0.7826087,0.70655996,0.87421656,366,20,846
5,will,Cactxs,0.75,1.17,54.18,0.509,0.46875,0.69362247,0.41999996,0.9130433,0.6461039,0.7994152,240,20,846
5,shadow fang,Shadow_Fang_1993,0.77,1.03,316.0,0.473,0.48125,1.0,0.26,0.5652173,0.62986684,0.77932525,240,15,846
6,niyonnet,niyo_net,1.55,2.01,47.0,0.5308,0.96874994,0.66892284,0.46000004,1.0,0.7921182,0.98007655,677,20,1192
6,mmerro,merro84,0.98,1.27,18.0,0.48,0.6125,0.5021719,0.28999996,0.63043463,0.5562767,0.6882732,149,5,1192
6,faded,FadedFaux,1.25,1.67,32.0,0.469,0.78125,0.60213536,0.41999996,0.9130433,0.6913572,0.8554064,366,20,1192
7,hammy,Hammy-56,1.41,1.81,49.0,0.6003,0.88124996,0.6761631,0.39999998,0.86956507,0.75681955,0.936402,677,20,1157
7,puscifer,Puscifer85,0.83,1.22,29.0,0.4705,0.51874995,0.5850324,0.39000005,0.8478261,0.60552716,0.7492101,240,10,1157
7,sbt,StayBloodThrsty,0.78,1.12,119.0,0.4707,0.48749998,0.8303227,0.34000003,0.73913044,0.6319133,0.7818573,240,20,1157
8,floor,Tata and farewell!,1.6,2.05,54.18,0.561,1.0,0.69362247,0.44999993,0.97826064,0.80822074,1.0,800,20,1315
8,cube,Cube9215,1.03,1.4,134.0,0.4793,0.64374995,0.8509485,0.37,0.80434775,0.6945866,0.85940206,366,20,1315
8,olli,ollioxenhomefree,0.69,1.01,22.0,0.4707,0.43125,0.5370363,0.32,0.6956521,0.5336596,0.6602894,149,5,1315
